Eerste_voornaam;Totaal levend;1900;1910;1920;1930;1940;1950;1960;1970;1980;1990;2000
Sietse;29;0;24;16;18;19;18;18;35;42;51;34
Muhammed;29;0;0;0;0;1;0;2;14;37;77;114
Ivar;29;0;0;0;0;1;2;26;27;39;67;75
Léon;29;0;10;7;7;8;15;51;62;40;32;14
Jari;29;0;0;0;0;0;0;0;1;11;135;94
Lex;29;0;0;0;2;5;15;9;18;57;69;62
Fokke;29;0;34;54;50;43;41;33;24;18;10;6
Yusuf;29;0;0;5;8;8;18;23;26;31;40;82
Ricky;29;0;0;0;0;0;8;20;47;108;37;11
Hindrik;29;0;86;78;58;49;41;29;18;15;7;4
Said;28;0;0;3;5;6;26;70;53;35;11;12
Vincentius;28;0;14;9;15;35;77;44;24;11;4;1
Murat;28;0;0;0;2;3;9;49;87;49;18;11
Johann;28;0;107;96;77;45;39;28;15;8;5;2
Willy;28;0;69;93;100;66;31;18;8;5;3;2
Rudolph;28;0;48;44;44;52;64;28;16;7;3;1
Siebe;28;0;28;26;22;23;21;16;17;20;48;61
Yassine;28;0;0;0;0;0;0;1;16;56;97;61
Fedde;28;0;17;11;14;14;16;10;12;11;13;144
Hassan;28;0;0;2;13;15;51;48;40;24;13;10
Micha;27;0;0;0;0;1;1;28;51;26;40;82
Willibrordus;27;0;7;27;64;73;55;18;7;3;2;0
Delano;27;0;0;0;0;1;7;6;9;22;91;89
Clemens;27;0;10;23;30;50;52;34;18;12;9;3
Aaron;27;0;0;0;0;0;0;1;6;31;77;112
Rijk;27;0;52;41;41;33;27;22;16;12;25;43
Sebastian;27;0;0;0;1;1;2;14;51;56;49;48
Rayan;26;0;0;0;0;0;0;0;1;2;11;219
Duncan;26;0;0;0;1;1;2;24;20;23;78;67
Tjerk;26;0;38;29;23;26;24;30;35;28;27;15
Brent;26;0;0;0;0;0;1;2;5;14;77;125
Loek;26;0;0;0;0;1;1;3;15;28;52;123
Robbie;26;0;0;1;7;10;15;31;61;44;28;16
Dimitri;26;0;0;0;0;0;2;48;51;41;43;21
Hamza;26;0;0;1;1;2;3;4;10;40;69;86
Jaimy;26;0;0;0;0;0;0;0;7;41;91;75
Collin;26;0;0;0;0;0;0;7;13;26;66;103
Ron;26;0;0;0;0;0;2;13;75;91;25;6
Jonas;25;0;3;4;3;3;3;3;14;20;63;104
Jan-Willem;25;0;0;0;0;2;3;43;70;51;25;10
Freerk;25;330;76;43;43;42;41;31;19;12;5;3
Franklin;25;0;3;7;21;59;33;34;21;16;11;3
Brandon;25;0;0;0;0;0;0;0;2;39;94;75
Antoine;25;0;21;19;21;24;28;50;32;14;14;9
Marcellus;25;0;3;3;10;25;79;43;18;6;1;0
Zakaria;25;0;0;0;0;0;1;2;10;42;72;80
Eugène;25;0;34;29;32;34;43;55;12;7;3;2
Khalid;25;0;0;0;1;3;10;34;63;53;23;13
Boy;25;0;0;2;1;1;4;3;45;80;48;23
Morris;25;0;0;0;0;1;1;1;1;8;52;148
Engelbertus;25;0;90;58;60;50;43;23;9;5;2;1
Jop;25;0;0;0;1;0;0;1;12;27;84;82
Ömer;24;0;0;1;7;6;14;20;27;39;39;49
August;24;0;69;77;60;51;31;19;10;6;8;7
Samir;24;0;0;0;1;3;9;20;53;52;43;18
Maxim;24;0;0;0;0;1;5;10;11;37;56;81
Robby;24;0;3;3;24;35;33;32;31;23;11;4
Jacco;24;0;0;0;0;0;1;49;37;34;50;20
Gustaaf;24;0;55;55;47;56;35;21;12;10;5;2
Koenraad;24;0;21;23;25;21;30;35;29;31;14;4
Herbert;24;0;38;27;39;36;41;38;20;8;3;2
Carlos;24;0;3;5;8;15;25;34;36;28;27;16
Stanley;24;0;7;6;14;22;30;32;22;34;22;12
Donny;24;0;0;0;0;1;1;6;37;68;57;26
Keano;24;0;0;0;0;0;0;0;0;0;2;208
Harmannus;24;0;38;51;49;43;43;26;13;7;3;1
Rico;24;0;0;0;0;0;1;8;11;63;82;28
Adolf;23;330;117;85;70;43;38;18;7;4;2;1
Edgar;23;0;10;7;11;13;21;60;42;19;11;3
Elias;23;0;14;23;15;16;13;12;13;22;35;63
Lieuwe;23;0;45;34;32;31;27;21;18;17;15;26
Wilfred;23;0;3;8;12;17;26;65;42;12;3;1
Gideon;23;0;10;5;4;5;6;15;47;40;38;37
Dylano;23;0;0;0;0;0;0;0;0;1;46;153
Hüseyin;23;0;0;6;14;12;27;35;30;29;20;17
Caspar;23;0;14;17;16;16;21;26;26;32;28;17
Quinn;23;0;0;0;0;0;0;0;0;1;34;164
Ayoub;23;0;0;0;0;0;0;1;1;11;85;96
Tomas;23;0;3;3;2;2;2;6;23;65;50;40
Heinrich;23;0;100;81;67;38;35;21;10;5;2;1
Marlon;23;0;0;0;0;0;20;39;37;37;30;14
Wietse;23;0;17;12;13;15;18;17;36;33;31;20
Serge;23;0;3;0;1;2;5;82;50;16;11;5
Rein;23;0;31;24;20;22;19;15;20;23;27;37
Dominique;23;0;0;0;1;1;4;5;50;74;36;16
Karim;23;0;0;1;1;1;7;16;54;55;33;20
Nino;23;0;0;0;1;1;1;2;3;28;102;49
;22;0;0;0;0;1;0;3;7;24;59;97
Kyan;22;0;0;0;0;0;0;0;0;1;19;176
Gertjan;22;0;0;0;2;7;18;51;49;33;10;4
Alwin;22;0;3;4;6;7;11;36;47;35;24;12
Jouke;22;0;34;22;30;25;22;21;20;24;20;18
Maximiliaan;22;0;24;18;18;20;17;12;7;28;55;20
Giel;22;0;0;0;2;1;1;4;15;31;50;84
Gradus;22;0;65;69;55;43;27;19;12;8;5;4
Chiel;22;0;0;0;0;0;1;4;19;53;68;37
Beau;22;0;0;0;0;0;0;0;1;15;68;103
Aalt;22;0;41;30;34;31;29;25;20;16;11;8
Govert;22;0;76;38;42;32;25;23;20;14;12;7
Senna;22;0;0;0;0;0;0;0;0;1;57;129
Robbin;22;0;0;0;0;0;0;4;11;84;52;23
Jamal;22;0;0;0;0;2;18;35;50;29;24;13
Berry;21;0;0;0;1;1;3;27;66;62;14;3
Axel;21;0;0;1;4;6;10;19;14;35;51;36
Mitch;21;0;0;0;0;0;0;0;4;72;62;39
Timotheus;21;0;0;8;7;14;24;21;28;46;21;7
Thijn;21;0;0;0;0;0;0;0;2;5;45;132
Amir;21;0;3;1;1;2;7;10;16;20;29;93
Richardus;21;0;24;26;24;27;49;38;13;6;2;1
Ilias;21;0;0;0;1;0;1;0;2;24;75;77
Christopher;21;0;0;0;1;3;4;7;24;66;39;31
Diego;21;0;0;0;1;0;1;3;9;24;66;74
Harald;21;0;17;2;5;8;18;81;30;9;4;1
Renzo;21;0;0;2;3;2;3;12;17;14;64;61
Bouke;21;0;10;20;20;22;20;16;30;28;23;11
Kaj;21;0;0;0;0;0;1;4;7;32;61;70
Kelvin;21;0;0;0;0;0;1;2;16;53;76;24
Christoffel;21;0;45;40;41;41;34;21;13;8;4;2
Rudolphus;21;0;21;17;20;37;55;21;15;6;1;1
Emre;21;0;0;0;0;0;0;1;4;48;75;45
Mischa;21;0;0;0;0;0;1;34;44;29;37;22
Guillaume;21;0;41;37;33;32;29;19;14;16;12;7
Merlijn;21;0;0;0;0;0;0;5;16;20;59;73
Younes;20;0;0;0;0;0;1;3;11;29;58;69
Quincy;20;0;0;0;0;0;0;1;15;53;71;28
Dex;20;0;0;0;0;0;0;0;0;4;9;166
Romano;20;0;0;0;1;1;2;11;14;42;57;41
Gabriël;20;0;21;14;12;11;17;18;15;17;26;47
Lucien;20;0;0;15;14;19;30;43;20;15;6;6
Etienne;20;0;10;2;5;7;17;47;27;26;17;8
Ruurd;20;0;17;27;25;33;31;19;20;16;9;3
Armand;20;0;10;15;13;16;22;40;39;15;7;3
Roderick;20;0;0;0;1;2;3;21;47;55;21;11
Johannus;20;0;31;39;34;27;27;25;19;14;6;3
Carl;20;0;31;48;30;23;29;29;13;12;7;4
José;20;0;10;14;19;25;30;33;24;11;6;3
Lesley;20;0;0;0;1;7;9;9;27;55;36;15
Geurt;20;0;34;37;33;31;26;20;17;11;10;7
Maik;20;0;0;0;0;0;0;5;22;48;45;43
Allard;19;0;3;3;5;8;15;30;28;31;27;10
Osman;19;0;0;3;9;9;26;25;27;25;19;14
Donald;19;0;17;10;24;40;33;20;16;15;4;2
Remon;19;0;0;0;0;1;1;25;55;42;27;6
Matthew;19;0;0;0;0;0;1;5;18;36;50;50
Arne;19;0;0;1;2;2;8;20;46;32;23;24
Egbertus;19;0;55;33;36;39;35;21;8;6;2;0
Waltherus;19;0;28;31;41;37;38;21;7;4;2;0
Friso;19;0;7;0;2;2;4;15;27;25;43;37
Fredrik;19;0;48;45;41;31;27;22;14;6;5;2
Lourens;19;0;55;42;36;26;22;19;16;14;10;6
Milo;19;0;0;0;0;0;2;6;5;12;43;91
Mustapha;19;0;0;0;8;13;29;39;34;15;4;3
Sten;19;0;0;0;0;0;0;1;6;20;55;74
Joran;19;0;0;0;0;0;0;1;9;34;70;41
Lennard;18;0;0;0;0;0;1;9;21;45;48;29
Jurriaan;18;0;7;7;8;7;8;21;39;32;25;9
Sami;18;0;0;0;3;3;8;9;6;9;24;94
Timon;18;0;3;2;1;2;2;5;15;35;52;39
Abdullah;18;0;0;3;6;6;14;18;16;29;26;33
Antonio;18;0;3;17;18;15;22;24;17;15;17;15
Huub;18;0;0;0;0;0;2;6;15;22;43;65
Yuri;18;0;0;0;0;0;1;18;40;35;25;29
Gert-Jan;18;0;0;0;0;1;5;34;48;40;14;3
Norbert;18;0;7;3;8;10;19;53;26;12;6;2
Bo;18;0;0;0;1;0;0;1;5;21;60;64
Camiel;18;0;0;1;1;1;3;18;22;26;43;32
Ewout;18;0;0;4;4;4;7;21;42;35;19;12
Alphons;18;0;41;48;40;41;32;14;5;3;2;1
Sidney;18;0;0;0;1;4;8;18;21;26;38;29
Luka;18;0;0;0;1;0;0;0;0;5;48;98
Bradley;18;0;0;0;0;0;0;1;3;12;60;74
Wieger;18;330;28;24;23;19;19;17;18;18;14;14
Joachim;18;330;10;16;12;11;12;16;30;25;15;21
Ingmar;18;0;0;0;0;0;3;21;30;31;29;30
Andrew;18;0;0;0;2;4;15;23;29;36;18;12
Calvin;18;0;0;0;0;0;0;1;3;17;91;32
Rafael;17;0;3;2;3;3;5;9;7;10;28;81
Sipke;17;0;45;32;38;30;23;16;14;10;6;4
Yorick;17;0;0;0;0;0;0;3;9;56;52;23
Martien;17;0;7;18;26;30;32;20;15;7;4;4
Raymon;17;0;0;0;0;0;1;15;43;45;31;5
Perry;17;0;0;0;0;1;14;26;22;36;28;6
Sean;17;0;0;0;0;0;0;3;8;48;52;31
Noël;17;0;0;1;2;3;7;13;13;22;38;40
Fatih;17;0;0;0;0;0;1;6;39;54;27;13
Jordan;17;0;0;0;0;1;1;5;11;22;50;51
Miguel;17;0;0;2;3;3;7;18;25;23;29;29
Sietze;17;0;21;31;28;24;22;15;15;13;9;8
Alain;17;0;0;0;1;1;7;26;28;34;21;15
Dominicus;17;0;31;27;33;34;31;17;8;6;4;1
Igor;17;0;0;0;1;1;8;34;28;23;25;11
Storm;17;0;0;0;0;0;0;0;0;2;44;98
Elbert;17;0;28;24;22;23;25;20;18;14;6;3
Taco;17;0;7;3;4;5;19;37;34;15;9;7
Hilbert;17;0;21;24;24;25;23;18;20;13;5;3
Tarik;17;0;0;0;0;0;1;5;27;34;46;25
Renatus;17;0;0;1;2;8;46;43;13;7;1;0
Reijer;17;0;31;35;30;26;21;14;13;12;8;8
Juan;17;0;0;7;5;7;12;21;21;21;25;19
Eelke;17;330;38;26;23;20;15;15;29;17;9;5
Jans;16;0;31;39;38;32;26;16;8;5;2;3
Tiemen;16;0;21;19;16;15;13;10;13;18;21;27
Samuël;16;0;0;4;2;3;3;5;11;20;37;57
Hielke;16;0;28;17;17;17;15;14;18;16;20;15
Aaldert;16;330;31;31;30;28;26;18;12;7;4;2
Gerald;16;0;0;1;5;6;18;35;26;23;9;4
Bobby;16;0;0;2;4;2;2;9;41;43;22;12
Alfons;16;0;21;18;20;20;30;27;14;9;3;1
Rodney;16;0;0;0;0;1;3;23;25;41;33;5
Hicham;16;0;0;0;0;0;0;7;30;38;46;13
Fred;16;0;0;4;7;26;40;26;11;7;3;1
Bruno;16;0;7;9;12;12;12;12;9;16;25;34
Yasin;16;0;0;0;1;0;2;4;16;36;36;40
Reindert;16;330;31;20;26;26;22;17;13;10;7;5
Jorg;16;0;0;0;1;0;0;10;42;27;31;22
Rinze;16;0;10;21;29;20;16;14;16;12;9;16
Dingeman;16;0;34;37;32;32;20;16;10;7;4;3
Cornelus;16;0;17;38;30;31;23;18;9;6;5;1
Stephen;16;0;0;0;3;7;14;27;23;31;15;4
Ramazan;16;0;0;1;5;6;21;28;24;18;11;9
Mert;16;0;0;0;0;0;0;0;0;10;60;60
Mimoun;16;0;0;4;22;12;25;37;14;6;3;3
Jürgen;16;0;3;0;4;4;6;46;49;10;2;1
Marko;16;0;0;0;2;3;6;42;28;21;11;7
Ravi;15;0;0;0;0;0;1;2;6;11;23;90
Stefano;15;0;0;0;1;0;3;8;9;31;45;29
Luciano;15;0;0;1;2;1;2;2;5;17;37;64
Gilbert;15;0;0;3;5;9;19;39;25;13;5;2
Sergio;15;0;3;0;1;2;3;11;32;36;27;15
Tonny;15;0;10;14;30;27;25;18;10;7;4;2
Dinand;15;0;0;0;2;4;6;7;6;5;21;78
Sebastianus;15;0;17;21;21;22;21;22;20;10;3;1
Wietze;15;0;21;19;24;21;19;18;13;12;9;5
Gerwin;15;0;0;0;0;0;2;23;38;31;21;7
Scott;15;0;0;0;0;0;0;2;4;26;50;45
Denny;15;0;0;0;0;2;6;15;38;36;15;10
Seth;15;0;0;0;0;0;2;3;6;5;16;97
Jean-Paul;15;0;0;0;0;0;5;37;37;24;10;3
Thierry;15;0;0;0;1;1;2;15;22;42;24;14
Olav;15;0;0;1;2;5;12;24;15;12;25;22
Ewoud;15;0;3;4;8;8;11;17;26;28;16;8
Kian;15;0;0;1;1;2;1;1;1;2;18;103
Manfred;15;0;0;3;17;10;18;48;19;3;1;0
Anouar;15;0;0;0;0;0;0;1;5;22;45;51
Xavier;15;0;0;0;1;1;2;8;13;20;31;48
Abdul;15;0;0;5;11;16;21;16;13;13;14;14
Xavi;15;0;0;0;0;0;0;0;0;0;4;126
Kenny;15;0;0;0;0;0;1;1;22;66;26;6
Sjouke;15;0;31;24;26;21;21;17;12;10;7;3
Sepp;15;0;0;0;0;0;0;0;1;2;9;117
Ezra;15;0;0;1;0;0;1;3;6;18;37;59
Josef;15;330;24;31;38;25;20;12;10;6;5;3
Duco;15;0;3;3;3;4;5;11;8;20;30;39
Sybren;15;0;0;3;5;5;7;8;13;23;33;25
Sep;14;0;0;0;0;0;0;0;1;2;18;105
Ward;14;0;0;0;0;0;1;6;17;32;40;23
Tony;14;0;0;3;3;4;7;9;14;32;26;22
Raf;14;0;0;0;0;0;0;1;1;2;22;100
Dries;14;0;7;14;15;10;11;11;18;11;18;27
Everhardus;14;0;34;42;33;30;23;15;5;2;1;0
Enrico;14;0;0;2;2;4;12;25;11;19;29;9
Anass;14;0;0;0;0;0;0;0;2;24;58;33
Emanuel;14;0;14;14;12;12;14;22;18;10;9;16
Taeke;14;0;24;24;23;20;12;11;7;6;6;32
Yassin;14;0;0;0;0;0;1;1;5;21;32;61
Theunis;14;0;24;27;24;24;20;15;11;7;6;5
Aldert;14;0;28;30;30;25;18;16;11;7;4;2
Halil;14;0;0;2;6;7;17;19;16;18;15;13
Gregory;14;0;0;0;0;2;7;16;36;34;11;7
Durk;14;0;41;24;24;20;17;14;15;9;7;5
Justus;14;0;7;7;7;8;9;9;12;18;30;22
Rienk;14;0;28;16;19;16;16;14;15;14;11;10
Hakan;14;0;0;0;0;0;1;15;38;31;23;6
Brahim;14;0;0;3;11;5;8;20;29;25;13;5
Edo;14;0;3;11;11;9;11;27;22;16;9;4
Egidius;14;0;28;19;32;30;26;14;6;3;1;0
Van;14;0;7;7;8;16;36;22;14;5;2;0
Don;14;0;0;0;1;1;2;9;16;30;33;23
Benny;14;0;7;6;9;10;9;11;36;31;6;2
Deniz;14;0;0;0;0;0;0;3;19;29;29;35
Francis;14;0;7;9;11;18;20;23;17;10;6;2
Ernest;14;0;3;14;17;23;24;22;12;5;2;1
Norbertus;14;0;7;19;19;21;31;23;6;3;1;0
Quint;14;0;0;0;0;0;0;3;10;13;35;54
Han;14;0;3;12;15;16;15;16;17;15;10;5
Abdellah;14;0;0;4;13;11;18;17;14;11;13;11
Arnout;14;0;3;3;5;3;7;21;31;25;11;6
Koert;13;0;14;15;19;15;19;20;12;7;7;10
Tjalling;13;0;31;20;14;16;15;14;14;13;11;8
Constantijn;13;0;7;2;2;4;6;16;19;21;25;16
Izaäk;13;0;38;26;23;25;17;12;9;9;5;5
Yoeri;13;0;0;0;0;0;0;3;7;46;38;16
Emir;13;0;0;0;1;1;2;3;5;7;18;78
Aiden;13;0;0;0;0;0;0;0;0;1;5;112
Catharinus;13;0;28;22;23;23;22;16;9;6;3;2
Amin;13;0;0;0;0;1;2;2;3;6;22;77
Wilbert;13;0;0;0;2;4;10;31;28;17;7;3
Willebrordus;13;0;48;44;40;32;18;9;3;2;1;0
Reinout;13;0;3;1;4;5;6;11;19;20;18;25
Remi;13;0;3;3;2;3;3;10;30;30;20;9
Wouterus;13;0;21;27;25;25;21;13;7;6;3;1
Senn;13;0;0;0;0;0;0;0;0;0;5;110
Guy;13;0;0;2;2;4;6;12;19;28;22;12
Burak;13;0;0;0;0;0;0;0;2;47;36;22
Raimond;13;0;0;1;2;3;12;41;37;3;1;0
Joop;13;0;0;6;10;17;16;12;13;14;12;11
Devin;13;0;0;0;0;0;0;0;1;13;43;52
Adil;13;0;0;0;1;2;4;7;23;28;26;14
Kick;13;0;0;0;0;0;0;2;3;3;19;84
Gilles;13;0;17;21;15;12;10;10;11;12;18;14
Aalbert;13;330;34;27;23;23;17;15;9;6;4;2
Gosse;13;0;21;17;19;20;16;14;9;9;9;6
Abram;13;0;34;26;24;20;15;11;9;10;7;5
Ewald;13;0;10;12;14;14;20;27;11;7;4;1
Ahmad;13;0;3;3;4;6;12;14;18;24;14;10
Redouan;13;0;0;0;0;0;0;2;13;36;31;23
Nout;13;0;0;0;0;0;0;0;2;4;14;90
Emil;13;0;14;9;12;8;10;13;22;10;17;10
Lubbert;13;0;14;23;23;20;14;11;11;11;6;5
Pier;13;0;45;26;24;18;17;13;10;7;6;4
Sijtze;13;0;24;21;25;28;19;11;8;5;2;1
Kyano;13;0;0;0;0;0;0;0;0;0;2;109
Yves;13;0;0;1;1;1;3;8;12;19;26;34
Julien;12;0;7;8;4;5;3;6;17;26;20;22
Barteld;12;0;34;21;25;22;17;15;10;5;4;1
Achraf;12;0;0;0;0;0;0;0;5;21;51;27
Abdelkader;12;0;0;7;18;17;21;25;9;4;2;2
Jur;12;0;0;0;0;0;0;0;0;7;48;48
Ilyas;12;0;0;1;1;1;3;4;5;10;23;57
Philippe;12;0;0;2;2;3;8;12;17;19;20;19
Dominic;12;0;0;0;0;0;1;0;23;31;25;23
Pelle;12;0;0;1;1;0;0;2;5;10;33;52
Rafaël;12;0;0;0;1;1;3;5;11;16;30;35
Sake;12;0;10;18;20;20;17;13;9;7;6;5
Farid;12;0;0;0;0;1;8;26;37;18;5;2
Karl;12;0;21;30;41;16;14;13;6;6;4;3
Fokko;12;0;24;20;18;22;20;17;8;4;2;2
Romeo;12;0;0;1;2;7;21;15;11;9;15;15
Nabil;12;0;0;0;1;2;5;6;19;26;27;12
Kris;12;0;0;0;1;0;0;1;8;19;29;44
Lubbertus;12;0;21;15;21;22;19;15;9;6;3;2
Gregorius;12;0;17;17;17;25;22;14;8;4;1;0
Hamid;12;0;0;1;2;5;18;27;22;10;4;3
Imran;12;0;0;0;0;0;1;2;5;4;8;84
Leopold;12;0;21;20;41;29;16;10;3;2;1;1
Age;12;0;41;19;22;19;16;12;9;7;6;6
Geoffrey;12;0;7;1;1;2;4;11;27;39;11;2
Denis;12;0;7;3;3;5;9;32;20;12;6;4
Furkan;12;0;0;0;0;0;0;0;0;11;60;27
Juul;12;0;0;0;0;0;0;1;6;16;33;43
Levy;12;0;3;0;0;0;0;0;1;6;30;64
Gerbrand;12;330;31;18;19;16;13;17;15;7;6;3
Ate;12;0;24;19;22;19;13;12;12;8;6;4
Leander;12;0;0;0;1;1;1;5;19;27;22;22
Feike;12;0;28;18;17;15;12;9;14;9;9;10
Steve;12;0;0;0;0;1;7;11;20;29;18;8
Jayson;12;0;0;0;0;0;0;0;2;2;12;86
Aziz;12;0;0;2;3;4;9;21;26;17;7;4
Sijmen;12;0;17;12;14;14;9;8;8;11;13;16
Godfried;12;0;31;24;24;23;23;12;4;2;1;1
Izaak;12;330;62;39;27;22;14;9;6;5;3;4
Roald;12;0;0;1;1;1;5;14;22;26;17;8
Kristian;11;0;0;0;0;0;0;5;25;26;18;21
Ferdi;11;0;0;0;1;0;0;2;31;35;18;9
Joppe;11;0;0;0;0;0;0;1;8;12;38;36
Alle;11;0;10;24;21;17;16;13;10;7;4;2
Fouad;11;0;0;0;1;1;4;7;30;33;14;4
Quirinus;11;0;34;27;22;22;19;9;7;4;4;1
Toon;11;0;7;4;3;3;2;3;9;13;25;37
Pedro;11;0;3;6;7;11;15;17;15;11;8;6
Fernando;11;0;0;2;3;5;8;9;14;19;16;18
Ole;11;330;0;1;0;0;1;1;1;2;38;54
Wilfried;11;0;10;3;11;13;23;28;9;2;1;0
Engbert;11;0;21;25;23;19;16;14;8;5;2;1
Jilles;11;0;7;15;12;11;9;6;8;9;13;24
Amar;11;0;0;3;16;7;10;11;9;12;14;15
Boyd;11;0;0;0;0;1;1;2;2;21;40;26
Hylke;11;0;3;2;3;3;3;5;18;18;22;22
Roman;11;0;7;1;2;3;2;5;9;17;23;32
Enes;11;0;0;0;0;1;3;2;3;18;34;32
Renier;11;0;17;20;22;19;23;12;6;4;2;1
Sonny;11;0;3;1;1;1;4;4;4;49;20;9
Damiën;11;0;0;0;0;0;0;0;4;14;40;37
Patricius;11;0;0;0;0;3;14;45;10;8;2;0
Gezinus;11;0;21;23;24;20;19;13;7;3;2;0
Kadir;11;0;0;1;4;3;7;10;13;22;21;10
Thimo;11;0;0;0;0;0;0;1;2;11;55;23
Enzo;11;0;0;0;0;0;0;1;1;12;28;52
Mauro;11;0;0;0;0;0;1;2;3;8;33;47
Huig;11;0;31;26;23;18;16;12;8;6;3;2
Jurriën;11;0;0;5;5;6;7;7;14;27;18;6
Driss;11;0;3;3;13;11;18;20;13;5;4;4
Shane;11;0;0;0;0;0;1;1;3;21;28;39
Ayman;11;0;0;0;0;0;1;4;1;2;26;60
Maas;11;0;14;8;10;10;7;9;6;6;11;32
Kars;11;0;0;3;4;5;3;3;7;18;29;23
Arda;11;0;0;0;0;0;0;0;1;2;8;86
Abe;11;0;24;7;10;8;8;7;6;6;18;29
Evan;11;0;0;1;1;0;0;1;4;9;22;56
Amine;11;0;0;0;0;0;0;0;2;12;39;38
Reginald;11;0;0;6;9;23;22;14;7;5;2;1
Dyon;11;0;0;0;0;0;0;1;3;19;32;36
Tieme;11;0;7;8;3;6;5;3;4;4;15;51
Ferdinandus;11;330;24;21;17;18;20;14;10;3;1;1
Denzel;11;0;0;0;0;0;0;0;0;10;44;37
Yunus;11;0;0;0;1;1;3;4;8;26;27;20
Adem;11;0;0;1;2;2;8;14;24;18;10;10
Jeffry;11;0;0;0;0;3;8;15;29;20;10;2
Harrie;11;0;10;11;14;15;17;14;11;8;4;3
Jakobus;11;0;28;23;21;17;13;10;8;7;5;4
Corné;11;0;0;0;0;0;1;5;10;20;38;14
Orlando;11;0;0;2;5;9;14;11;11;13;11;12
Bruce;11;0;0;0;0;1;2;3;7;18;15;43
Oliver;11;0;0;0;0;0;1;5;11;10;16;46
IJsbrand;11;0;24;19;19;17;10;8;9;7;9;10
Jake;11;0;0;0;0;0;0;0;0;9;19;64
Süleyman;11;0;0;1;7;6;13;20;14;10;7;7
Karst;11;0;7;13;12;13;12;10;10;9;11;10
Robert-Jan;11;0;0;0;0;0;1;18;29;26;9;2
Alfonsus;11;0;3;12;13;25;32;7;2;1;0;0
Mounir;11;0;0;0;0;1;1;4;21;24;24;13
Bennie;11;0;3;3;7;7;7;9;24;20;8;6
Benno;11;0;0;9;9;7;11;21;15;9;5;3
Johny;11;0;3;5;11;20;20;19;7;4;0;0
Jessy;11;0;0;0;0;0;1;1;2;13;38;33
Bouwe;10;0;14;16;18;17;13;9;8;6;7;6
Stein;10;0;0;0;1;0;0;1;5;14;31;36
Metin;10;0;0;0;2;1;13;26;14;10;8;6
Karsten;10;0;0;0;0;0;1;5;11;13;25;33
Raphaël;10;0;0;1;1;2;7;8;11;14;19;22
Soufiane;10;0;0;0;0;0;0;1;6;25;33;22
Romke;10;0;14;15;15;12;13;12;11;8;7;5
Nicolas;10;0;0;9;7;5;4;6;11;18;17;18
Abdeslam;10;0;0;6;19;18;18;16;9;3;1;1
Dennie;10;0;0;0;0;0;0;2;41;32;8;4
Joram;10;0;0;0;0;0;0;4;24;23;24;10
Abdelaziz;10;0;0;2;4;9;19;20;14;7;3;3
Koos;10;0;3;7;11;13;10;6;17;12;8;7
Lenn;10;0;0;0;0;0;0;0;0;2;6;83
Kim;10;0;10;1;2;3;4;15;36;17;5;2
Kjell;10;0;0;0;0;0;0;1;7;11;36;30
Gianni;10;0;0;0;1;0;0;2;3;11;42;27
Swen;10;0;0;0;1;0;1;4;9;18;30;24
Yoran;10;0;0;0;0;0;0;0;4;17;40;23
Marciano;10;0;0;0;0;0;1;4;12;25;26;16
Ludwig;10;0;24;27;23;17;17;10;7;3;1;1
Jermaine;10;0;0;0;0;0;0;3;18;34;17;12
Kaan;10;0;0;0;0;0;0;0;0;6;29;51
Silvester;10;0;14;4;7;7;9;15;9;12;8;14
Siebren;10;0;17;10;14;14;10;6;6;10;11;11
Gabriel;10;0;0;7;5;7;8;6;4;8;14;30
Friedrich;10;0;34;37;34;18;14;9;3;2;1;1
Rody;10;0;0;0;0;0;0;8;16;18;30;9
Humphrey;10;0;3;6;13;22;21;12;6;3;1;0
Engelbert;10;0;28;22;18;18;19;10;5;4;1;0
Walid;10;0;0;0;0;0;2;3;3;11;30;34
Wicher;10;0;17;18;17;15;13;11;9;8;3;3
Dirk-Jan;10;0;0;0;0;1;2;13;29;20;11;6
Fabio;10;0;0;0;0;0;1;3;6;14;34;26
Rene;10;0;0;0;2;3;8;16;24;19;6;2
Rudolfus;10;0;7;5;6;11;31;13;7;2;1;0
Viggo;10;0;0;0;0;0;0;0;0;0;15;69
Reinoud;10;0;0;1;3;6;15;14;14;9;8;7
Mourad;10;0;0;0;0;0;2;6;27;27;15;2
Renze;10;0;10;9;10;11;10;8;12;9;9;8
Donovan;10;0;0;0;1;1;1;3;10;28;23;13
Eddie;10;0;3;2;3;4;10;21;17;8;6;4
Francisco;10;0;3;3;9;11;12;15;14;7;7;3
Steffen;10;0;14;5;5;6;6;11;19;16;8;6
Alan;10;0;0;0;1;5;5;11;17;15;14;11
Nanne;10;0;14;9;12;12;10;7;10;8;9;11
Reint;10;0;34;21;17;18;15;9;7;4;3;1
Chi;10;0;3;1;3;6;11;12;24;12;5;3
Elroy;10;0;0;0;0;0;0;10;21;29;15;4
Aris;10;0;24;21;15;12;11;9;9;8;7;5
Antony;10;0;10;12;11;14;12;12;6;8;7;5
Yassir;10;0;0;0;0;0;0;0;2;11;20;48
M'hamed;10;0;0;3;14;11;19;19;11;1;1;1
Kenan;10;0;0;0;1;0;5;10;15;9;16;22
Edmond;10;0;10;10;17;19;17;12;5;2;1;1
Meine;10;0;17;20;16;17;14;9;7;5;4;4
Sijbren;10;0;21;34;22;16;13;9;5;4;2;1
